transaction_id,client_id,timestamp
10,4514693839493098,2024-01-01T00:02:24
100003,4957724474886736,2024-01-18T21:50:49
100005,4227838052408491,2024-01-18T21:51:06
100021,4783000904136202,2024-01-18T21:55:27
100063,4368346253075134,2024-01-18T22:06:11
100076,4688962035283607,2024-01-18T22:09:33
10010,4467191858376820,2024-01-02T19:06:24
100116,4272263332789848,2024-01-18T22:19:20
100159,4952214539606423,2024-01-18T22:29:54
100194,4953475335389246,2024-01-18T22:39:45
100204,4112359375475446,2024-01-18T22:42:03
100206,4693249929037700,2024-01-18T22:42:20
100255,4690764475015754,2024-01-18T22:55:28
100259,4265876508756694,2024-01-18T22:56:31
100272,4900088389304930,2024-01-18T23:00:07
100310,4386960884261554,2024-01-18T23:09:27
100350,4108455648865995,2024-01-18T23:20:40
100354,4973847834689175,2024-01-18T23:21:44
100360,4011648807958660,2024-01-18T23:23:24
100403,4669325580216245,2024-01-18T23:33:43
100410,4259708747802716,2024-01-18T23:35:53
100427,4970138502315001,2024-01-18T23:40:25
100430,4005492253443184,2024-01-18T23:41:18
100509,4639413330652245,2024-01-19T00:03:33
10051,4335829147665657,2024-01-02T19:17:15
100523,4930988563489411,2024-01-19T00:07:03
100544,4322325239174737,2024-01-19T00:11:33
100549,4240526251756975,2024-01-19T00:12:40
10055,4335829147665657,2024-01-02T19:18:43
100578,4652216906678292,2024-01-19T00:19:22
100619,4027834300676627,2024-01-19T00:29:35
10064,4619876738183670,2024-01-02T19:20:02
100646,4982603562499025,2024-01-19T00:36:57
100660,4336514214313568,2024-01-19T00:40:46
100661,4336514214313568,2024-01-19T00:41:10
100672,4964965109956037,2024-01-19T00:44:34
100686,4786077038829354,2024-01-19T00:47:31
100692,4979987376582257,2024-01-19T00:48:49
100724,4830121531561365,2024-01-19T00:56:24
100728,4480602326961178,2024-01-19T00:57:29
100752,4038889753210271,2024-01-19T01:03:40
100797,4323658315425410,2024-01-19T01:16:32
100815,4057961486677716,2024-01-19T01:20:24
100819,4057961486677716,2024-01-19T01:21:47
100853,4669298799222314,2024-01-19T01:31:05
100889,4821981709228373,2024-01-19T01:39:43
100890,4707760807751208,2024-01-19T01:39:47
100895,4108710245886541,2024-01-19T01:40:59
100901,4535325031527077,2024-01-19T01:42:36
100914,4539709765505878,2024-01-19T01:45:17
100924,4974040272130683,2024-01-19T01:48:04
100925,4992695962526009,2024-01-19T01:48:33
100926,4746264094854414,2024-01-19T01:48:57
100936,4597772276051013,2024-01-19T01:51:07
100943,4246332278042760,2024-01-19T01:52:27
100950,4864302589636569,2024-01-19T01:54:19
100955,4668874253500188,2024-01-19T01:55:41
10098,4992695962526009,2024-01-02T19:28:11
100980,4335829147665657,2024-01-19T02:01:16
101014,4596281348089598,2024-01-19T02:10:44
101046,4113346351685410,2024-01-19T02:18:36
101077,4832618975422432,2024-01-19T02:26:53
101089,4160613779505609,2024-01-19T02:30:03
101098,4853318857123737,2024-01-19T02:32:41
101116,4315710422848545,2024-01-19T02:37:00
101129,4238141791902511,2024-01-19T02:40:44
101135,4095105852158885,2024-01-19T02:42:37
101165,4864503097661961,2024-01-19T02:50:10
101173,4257860362540808,2024-01-19T02:51:48
101187,4601715060029160,2024-01-19T02:55:24
101191,4499216871774727,2024-01-19T02:56:04
101199,4770380604067088,2024-01-19T02:58:07
101205,4517055444810388,2024-01-19T02:59:30
101215,4007363623990162,2024-01-19T03:01:59
101216,4071630532074994,2024-01-19T03:02:14
101222,4251668852643586,2024-01-19T03:03:45
101238,4424760228504972,2024-01-19T03:07:15
101244,4472384681023320,2024-01-19T03:08:49
101254,4277676860904510,2024-01-19T03:11:18
101255,4725315419243082,2024-01-19T03:11:46
101267,4909563260631255,2024-01-19T03:15:16
101290,4406223153245790,2024-01-19T03:21:04
101302,4238141791902511,2024-01-19T03:24:29
101334,4424760228504972,2024-01-19T03:33:15
101351,4735084058921451,2024-01-19T03:37:25
101358,4693685455683302,2024-01-19T03:39:06
101370,4895302680036522,2024-01-19T03:41:45
101372,4425836173331204,2024-01-19T03:42:15
101377,4908098040589029,2024-01-19T03:43:53
101405,4570609589821222,2024-01-19T03:50:32
101407,4496582625824305,2024-01-19T03:51:11
101420,4821981709228373,2024-01-19T03:54:04
101435,4119028638945023,2024-01-19T03:57:38
101439,4594636258234371,2024-01-19T03:58:27
101443,4684183056947624,2024-01-19T04:00:08
101456,4005397429250647,2024-01-19T04:03:01
101460,4168785726131861,2024-01-19T04:03:41
101474,4538484255567363,2024-01-19T04:06:44
101503,4368941839275933,2024-01-19T04:13:31
101509,4184511639847108,2024-01-19T04:15:20
101513,4360264835458934,2024-01-19T04:15:56
101550,4075821933451156,2024-01-19T04:26:09
101573,4249776500720303,2024-01-19T04:32:24
101576,4184511639847108,2024-01-19T04:33:01
101578,4115209228991148,2024-01-19T04:33:36
101579,4952443870120013,2024-01-19T04:33:52
101596,4091739721831654,2024-01-19T04:37:10
101598,4724722321099737,2024-01-19T04:37:30
101610,4302733953981720,2024-01-19T04:40:58
101622,4441717347417477,2024-01-19T04:43:57
101626,4480602326961178,2024-01-19T04:44:50
101644,4687410534390326,2024-01-19T04:49:25
101647,4639674793242382,2024-01-19T04:50:00
101648,4019385199208709,2024-01-19T04:50:30
101671,4559722197617901,2024-01-19T04:55:56
101677,4328055373704445,2024-01-19T04:56:58
101689,4900751441896967,2024-01-19T05:00:45
101710,4664299680054720,2024-01-19T05:06:07
101713,4716870627203535,2024-01-19T05:07:01
101720,4655095978217115,2024-01-19T05:08:30
101728,4832618975422432,2024-01-19T05:10:43
101735,4756906285282881,2024-01-19T05:12:24
101757,4999903499627313,2024-01-19T05:18:44
101767,4570557579240483,2024-01-19T05:21:45
101776,4628588606530481,2024-01-19T05:23:14
101781,4108710245886541,2024-01-19T05:24:41
101791,4233771527858408,2024-01-19T05:27:49
101805,4121559561928749,2024-01-19T05:30:52
101810,4796191002016902,2024-01-19T05:31:14
101819,4693154208634534,2024-01-19T05:33:37
101831,4820709484999301,2024-01-19T05:35:54
101844,4026084862895261,2024-01-19T05:39:18
101861,4941540145929229,2024-01-19T05:43:27
101872,4631299083786027,2024-01-19T05:45:58
101875,4431072405781980,2024-01-19T05:46:19
101878,4441356311228626,2024-01-19T05:46:54
101897,4901193238513365,2024-01-19T05:52:06
101903,4354642218884453,2024-01-19T05:53:13
101908,4785895083194080,2024-01-19T05:54:20
101914,4828484758757700,2024-01-19T05:55:49
101920,4475100955418054,2024-01-19T05:57:09
10196,4282302008588528,2024-01-02T19:53:44
101988,4194773486993140,2024-01-19T06:13:28
101992,4367457967571051,2024-01-19T06:14:03
101995,4661067444976220,2024-01-19T06:15:11
102046,4330928595903233,2024-01-19T06:28:08
102048,4895302680036522,2024-01-19T06:28:39
102050,4895302680036522,2024-01-19T06:28:50
102052,4082843442476657,2024-01-19T06:29:35
102055,4581846913785627,2024-01-19T06:30:25
102060,4987342236770108,2024-01-19T06:31:47
102068,4323658315425410,2024-01-19T06:33:56
102078,4800620860980068,2024-01-19T06:36:50
102101,4611343864349953,2024-01-19T06:41:55
102106,4479899706242558,2024-01-19T06:43:05
102122,4975032749316960,2024-01-19T06:46:47
102173,4800620860980068,2024-01-19T06:59:37
102186,4264273462760196,2024-01-19T07:02:27
102201,4234822040176536,2024-01-19T07:06:31
102211,4050006777353234,2024-01-19T07:09:25
102248,4494518278783127,2024-01-19T07:18:55
102249,4060828068565186,2024-01-19T07:19:07
102255,4824444111037939,2024-01-19T07:21:05
10226,4085620157886859,2024-01-02T20:00:57
102281,4759404186671730,2024-01-19T07:29:06
102300,4289558068356691,2024-01-19T07:33:32
102305,4840215441494127,2024-01-19T07:35:19
102326,4260868679964558,2024-01-19T07:41:11
102378,4791321608095381,2024-01-19T07:53:52
10241,4375961711913592,2024-01-02T20:05:53
102411,4913929793693761,2024-01-19T08:02:36
102434,4264766619629891,2024-01-19T08:08:51
102442,4168785726131861,2024-01-19T08:10:38
